Boards,Total Calls,Total Calls Not Accepted:,Callers Number,Call Arrived,Call Ended,Ring Start Time,Ring Duration,Agent Name,Status
Cardiology,11,11,1003,22-05-2023 18:27:15,22-05-2023 18:27:51,22-05-2023 18:27:47,00:00:02,801002 801002,Answered
Cardiology,11,11,1003,22-05-2023 18:28:07,22-05-2023 18:28:45,22-05-2023 18:28:42,00:00:04,801002 801002,Disconnected
Cardiology,11,11,1003,22-05-2023 18:53:58,22-05-2023 18:54:56,22-05-2023 18:54:34,00:00:23,801002 801002,Disconnected
Cardiology,11,11,1003,22-05-2023 18:59:34,22-05-2023 19:00:34,22-05-2023 18:59:36,00:00:31,801002 801002,Not Accepted
Cardiology,11,11,,,,22-05-2023 19:00:11,00:00:24,801002 801002,Disconnected
Cardiology,11,11,1003,22-05-2023 19:00:51,22-05-2023 19:01:49,22-05-2023 19:00:53,00:00:15,801002 801002,Not Accepted
Cardiology,11,11,,,,22-05-2023 19:01:11,00:00:15,801002 801002,Not Accepted
Cardiology,11,11,,,,22-05-2023 19:01:29,00:00:16,801002 801002,Not Accepted
Cardiology,11,11,,,,22-05-2023 19:01:47,00:00:02,801002 801002,Answered
Cardiology,11,11,1003,22-05-2023 19:02:44,22-05-2023 19:02:47,22-05-2023 19:02:46,00:00:02,801002 801002,Answered
Cardiology,11,11,1003,22-05-2023 19:11:38,22-05-2023 19:12:13,22-05-2023 19:11:54,00:00:15,801002 801002,Not Accepted
Cardiology,11,11,,,,22-05-2023 19:12:12,00:00:01,801002 801002,Answered
Cardiology,11,11,1003,22-05-2023 19:34:09,22-05-2023 19:35:02,22-05-2023 19:34:18,00:00:16,801002 801002,Not Accepted
Cardiology,11,11,,,,22-05-2023 19:35:01,00:00:01,801002 801002,Answered
Cardiology,11,11,1003,22-05-2023 20:16:13,22-05-2023 20:16:48,22-05-2023 20:16:27,00:00:16,801002 801002,Not Accepted
Cardiology,11,11,,,,22-05-2023 20:16:46,00:00:02,801002 801002,Answered
Cardiology,11,11,1003,22-05-2023 20:18:50,22-05-2023 20:19:38,22-05-2023 20:19:17,00:00:15,801002 801002,Not Accepted
Cardiology,11,11,,,,22-05-2023 20:19:35,00:00:04,801002 801002,Disconnected
